id,city,state,state_abbr,population,median_age,average_household_size,median_income,household_income,per_capita_income
217,EAST WAREHAM,Massachusetts,MA,3571,42.1,2.47,29118,67993,29027
218,EDGARTOWN,Massachusetts,MA,4292,46.6,2.64,40276,75404,49510
219,ESSEX,Massachusetts,MA,3687,46.3,2.56,46319,109327,51532
220,FALMOUTH,Massachusetts,MA,8294,58.9,2,31452,70758,47140
221,WOODS HOLE,Massachusetts,MA,909,55.7,2.1,40433,92188,90910
222,HOLLAND,Massachusetts,MA,2510,43.7,2.64,34681,78348,34752
223,FITCHBURG,Massachusetts,MA,40666,35.4,2.61,25165,51412,24887
224,FORESTDALE,Massachusetts,MA,4393,41.7,2.91,31182,92286,33850
225,FOXBORO,Massachusetts,MA,17448,42.3,2.63,47401,98199,46064
226,FRAMINGHAM,Massachusetts,MA,71324,39.95,2.45,36959.5,79343,39428
227,FRANKLIN,Massachusetts,MA,32843,40,2.81,47738,111935,48712
228,GARDNER,Massachusetts,MA,20496,40.6,2.34,27274,48915,25866
229,GLOUCESTER,Massachusetts,MA,29858,49,2.29,32089,65348,39670
230,GRAFTON,Massachusetts,MA,6657,43.5,2.67,47190,106250,49307
231,GROTON,Massachusetts,MA,11282,45.6,2.72,52183,123918,53410
232,HALIFAX,Massachusetts,MA,7739,42.5,2.72,32603,77993,33773
233,HANOVER,Massachusetts,MA,14328,42.4,2.84,46488,111311,49009
234,HANSON,Massachusetts,MA,10560,44.7,2.83,39395,96389,38591
235,HARVARD,Massachusetts,MA,4630,47.2,2.81,57301,143625,60666
236,HARWICH,Massachusetts,MA,9516,52.6,2.2,36608,78077,43233
237,HARWICH PORT,Massachusetts,MA,1806,62.5,2.02,31619,62933,37003
239,HAVERHILL,Massachusetts,MA,62943,38.23,2.55,32753.33,67770,33357.33
240,GEORGETOWN,Massachusetts,MA,8569,46,2.62,49684,113417,48049
241,GROVELAND,Massachusetts,MA,6697,44.6,2.86,32431,95031,38724
242,HINGHAM,Massachusetts,MA,23047,45.6,2.61,52237,125144,69709
243,HOLBROOK,Massachusetts,MA,10753,46.1,2.52,34727,67589,34198
244,HOLDEN,Massachusetts,MA,15061,41.8,2.75,45588,99674,43270
245,HOLLISTON,Massachusetts,MA,14480,42.2,2.79,51607,118933,53435
246,HOPEDALE,Massachusetts,MA,5955,44.4,2.63,41338,101761,40122
247,HOPKINTON,Massachusetts,MA,16720,40.8,2.96,67222,151357,60222
248,HUBBARDSTON,Massachusetts,MA,4581,45.7,2.72,41069,93387,38657
249,HUDSON,Massachusetts,MA,19843,43.7,2.57,38506,83765,39716
250,HULL,Massachusetts,MA,10402,52.8,2.13,40912,80584,48740
252,HYANNIS,Massachusetts,MA,15063,39.3,2.33,25656,46821,25577
254,IPSWICH,Massachusetts,MA,13810,48.8,2.4,39223,80829,45228
255,JEFFERSON,Massachusetts,MA,3497,41.2,2.82,46667,104508,44718
256,LANCASTER,Massachusetts,MA,7735,38.4,2.84,38542,104630,35322
257,LAWRENCE,Massachusetts,MA,79485,32.07,2.83,19355,35141.33,18659
258,METHUEN,Massachusetts,MA,49587,39.1,2.78,32387,73525,32504
259,NORTH ANDOVER,Massachusetts,MA,30170,39.9,2.6,46830,105661,51658
260,LEICESTER,Massachusetts,MA,6702,45.4,2.43,29578,64135,34311
261,LEOMINSTER,Massachusetts,MA,41446,40.2,2.48,30627,57610,30775
262,LINCOLN,Massachusetts,MA,4791,53.7,2.38,69031,153500,103262
264,LITTLETON,Massachusetts,MA,9754,44.4,2.79,42692,119177,49934
265,LOWELL,Massachusetts,MA,111056,32.65,2.79,24318.5,47500.75,23126.5
266,LUNENBURG,Massachusetts,MA,11150,44.1,2.67,41550,97775,41737
267,LYNN,Massachusetts,MA,93006,36.15,2.62,28174.75,52735.25,25387.5
268,SAUGUS,Massachusetts,MA,28037,45.7,2.71,35016,82188,36419
269,SWAMPSCOTT,Massachusetts,MA,14758,44.6,2.64,44487,105029,51759
270,NAHANT,Massachusetts,MA,3488,51.8,2.15,48400,81384,57969
271,LYNNFIELD,Massachusetts,MA,13425,45.4,2.71,51452,113509,53792
272,MANCHESTER,Massachusetts,MA,5327,51.1,2.52,46627,105500,64841
273,MANSFIELD,Massachusetts,MA,23678,38.4,2.79,47629,111141,48061
274,MARBLEHEAD,Massachusetts,MA,20393,47.8,2.46,51804,110025,64757
275,MARLBOROUGH,Massachusetts,MA,39771,39.5,2.52,35448,75418,38866
276,MARSHFIELD,Massachusetts,MA,26032,45.1,2.73,39094,92610,41767
