id,city,state,state_abbr,population,median_age,average_household_size,median_income,household_income,per_capita_income
20551,ATHENS,Texas,TX,24160,40.75,2.67,21347,44726.5,23544
20552,ATLANTA,Texas,TX,10867,43.3,2.52,24448,41661,23870
20553,AVERY,Texas,TX,1805,47.2,2.34,26908,50909,26109
20554,AVINGER,Texas,TX,2238,60,1.93,24354,42774,29416
20555,BAGWELL,Texas,TX,528,50.1,1.95,25313,42366,23841
20556,BAILEY,Texas,TX,223,45.5,2.56,26250,50208,20083
20557,BARDWELL,Texas,TX,710,33,3.3,20391,45568,16251
20558,BARRY,Texas,TX,1251,44.3,2.61,25244,43611,20545
20559,BECKVILLE,Texas,TX,3137,36.6,2.78,26272,60278,24777
20560,BELLS,Texas,TX,3184,43.5,2.77,30142,61343,29843
20562,BEN WHEELER,Texas,TX,6506,45.5,2.67,27579,53004,26960
20563,BIG SANDY,Texas,TX,5150,42.1,2.59,24490,48675,25810
20564,BIVINS,Texas,TX,1765,42.4,2.67,25383,50920,26525
20565,BLOOMBURG,Texas,TX,1044,37.8,2.76,24886,41250,18891
20566,BLOSSOM,Texas,TX,2887,34.5,2.78,25213,47167,24922
20567,BLUE RIDGE,Texas,TX,3765,37.4,2.98,32585,64405,27510
20568,BOGATA,Texas,TX,2691,42.8,2.54,19142,34118,20457
20569,BONHAM,Texas,TX,14318,42.3,2.43,21765,41508,21166
20571,BRASHEAR,Texas,TX,870,48,2.6,33393,83684,32568
20572,BROADDUS,Texas,TX,1860,47,2.53,16779,38177,27243
20573,BRONSON,Texas,TX,1909,49.1,3.02,15792,28913,17636
20574,BROOKELAND,Texas,TX,2189,53.6,2.46,27377,57277,27990
20575,BROOKSTON,Texas,TX,898,41.9,3.3,30673,58723,22712
20576,BROWNSBORO,Texas,TX,4873,36.2,2.99,27667,63007,27086
20577,BUFFALO,Texas,TX,5746,41,2.9,27371,50150,23487
20578,BULLARD,Texas,TX,12166,40.7,2.83,28416,64289,30125
20579,BURKEVILLE,Texas,TX,1833,52.4,3.27,28551,44167,23092
20580,CADDO MILLS,Texas,TX,7113,34.6,3.28,34243,79400,25581
20581,CALL,Texas,TX,1139,53.1,2.32,14128,41667,26154
20582,CAMDEN,Texas,TX,138,30.9,2.34,46786,85491,43051
20583,CAMPBELL,Texas,TX,2946,45.8,2.89,22460,57679,25689
20584,CANTON,Texas,TX,13967,43.6,2.63,23692,50722,26895
20585,CARROLLTON,Texas,TX,132354,36.5,2.71,37845.67,73783.33,35142.33
20586,CARTHAGE,Texas,TX,13779,38,2.49,25562,48559,27269
20588,CEDAR HILL,Texas,TX,48568,34.4,3.02,34737,69699,27937
20589,CELESTE,Texas,TX,2749,50,2.62,31386,61750,29491
20590,CELINA,Texas,TX,10557,37.5,2.95,33415,90717,36058
20591,CENTER,Texas,TX,13955,33.8,2.83,20068,36062,19861
20592,CENTERVILLE,Texas,TX,3462,49.2,2.69,26171,52679,25202
20593,CHANDLER,Texas,TX,8100,49.8,2.33,24348,47143,26473
20594,CHATFIELD,Texas,TX,245,40.3,2.7,17000,42132,15907
20595,CHESTER,Texas,TX,842,42.9,2.74,19485,43750,20515
20596,CHIRENO,Texas,TX,987,41,2.83,23281,43750,22765
20597,CLARKSVILLE,Texas,TX,4953,48.9,2.25,18173,32472,19815
20598,COLMESNEIL,Texas,TX,2686,52.9,2.51,19307,41886,23067
20599,COMMERCE,Texas,TX,10802,26.6,2.4,13603,32547,18873
20600,COMO,Texas,TX,2356,41.5,2.86,17548,46667,20239
20601,COOKVILLE,Texas,TX,1902,28.9,3.81,22489,60583,18602
20602,COOPER,Texas,TX,3519,39.2,2.64,20960,39350,20439
20603,COPPELL,Texas,TX,41947,40.3,2.73,56670,118471,54352
20604,CORRIGAN,Texas,TX,4939,37.1,2.68,20658,41394,22265
20605,CORSICANA,Texas,TX,32943,41,2.69,28054.5,54940.5,26366.5
20606,CRANDALL,Texas,TX,5930,37.9,3.1,31077,64519,25272
20607,CROCKETT,Texas,TX,10924,42.3,2.31,18168,28810,18802
20608,CUMBY,Texas,TX,2752,46.8,2.58,27667,51791,27374
20610,CUSHING,Texas,TX,2429,48.1,2.45,26667,45714,28087
20611,DAINGERFIELD,Texas,TX,5908,44.6,2.44,22099,39360,24008
20612,DALLAS,Texas,TX,1371575,34.27,2.49,31848.12,56095.08,36972.81
20613,DE BERRY,Texas,TX,2790,45.6,2.4,21707,36680,24173
20614,DE KALB,Texas,TX,5316,47.1,2.54,23337,45451,28250
20615,DENISON,Texas,TX,30595,42.7,2.55,25015,48246,25685
20616,DEPORT,Texas,TX,1374,39.3,2.65,21379,40224,17457
20617,DESOTO,Texas,TX,52377,39.4,2.71,33795,65194,29674
20618,DETROIT,Texas,TX,1923,37.4,2.5,23354,37181,20258
20619,DIANA,Texas,TX,5020,38.2,2.73,30871,46653,22185
20620,DIBOLL,Texas,TX,8974,39,2.94,22377,45692,17771
20621,DIKE,Texas,TX,1335,48.9,2.81,29167,64135,27492
20622,DODD CITY,Texas,TX,918,39.8,2.61,39934,76944,30895
20623,DONIE,Texas,TX,638,40.9,2.2,35019,39444,25975
20625,DOUGLASS,Texas,TX,1349,39.8,2.55,25993,46923,26956
20626,DOUGLASSVILLE,Texas,TX,715,50.9,2.06,25000,30550,24130
20627,DUNCANVILLE,Texas,TX,39636,36.9,2.96,27730,51683,23354.5
20629,ECTOR,Texas,TX,932,37.8,2.61,29583,58750,25607
20630,EDGEWOOD,Texas,TX,4007,43.7,2.53,22053,46069,26738
20631,ELKHART,Texas,TX,5192,41.1,2.52,24015,41512,21273
20633,EMORY,Texas,TX,6201,49,2.46,23650,48475,26288
20634,ENLOE,Texas,TX,128,41.6,1.97,30446,48914,25208
20635,ENNIS,Texas,TX,27514,34.8,2.98,27056,50947,22896
20636,ETOILE,Texas,TX,1409,46.5,2.48,20045,39306,22959
20637,EUSTACE,Texas,TX,4229,48.7,2.61,23133,49954,26014
20638,FAIRFIELD,Texas,TX,6950,38.3,2.54,25101,49130,27619
20639,FARMERSVILLE,Texas,TX,9848,41.6,2.88,31747,64398,28754
20640,FATE,Texas,TX,1864,29.9,3.27,38938,70364,26148
20641,FERRIS,Texas,TX,6236,33.6,2.99,26584,52171,19820
20642,FLINT,Texas,TX,12986,34.6,2.73,39481,78475,34819
20643,FORNEY,Texas,TX,42409,32.2,3.38,43245,89782,30495
20644,FRANKSTON,Texas,TX,6286,41.5,2.7,26743,50997,24526
20645,FRISCO,Texas,TX,161260,36.4,2.99,55862,119902.5,47984
20646,FRUITVALE,Texas,TX,1719,39.5,2.82,21250,39417,18136
20647,GALLATIN,Texas,TX,234,34,2.72,27500,59375,22924
20648,GARLAND,Texas,TX,236033,34.3,3.14,26601.6,53334,22809
20649,SACHSE,Texas,TX,24203,37.2,3.22,41631,97666,33186
20650,GARRISON,Texas,TX,3209,43.5,2.44,24009,43269,21043
20651,GARY,Texas,TX,2462,36.4,2.86,26489,51875,26097
20652,GILMER,Texas,TX,22832,39.9,2.93,24758.5,53196.5,24528.5
20653,GLADEWATER,Texas,TX,12459,43.3,2.72,22478,44509,23386
20654,GRAND PRAIRIE,Texas,TX,188529,32.92,3.19,34806.25,70843.25,26451.25
20655,GRAND SALINE,Texas,TX,6752,41,2.94,21184,43772,20346
20656,GRAPELAND,Texas,TX,6340,47.5,2.42,21272,38712,22491
20657,GREENVILLE,Texas,TX,35761,36.4,2.75,25378.5,49879,24383
20658,GROVETON,Texas,TX,3208,45.1,2.65,21653,42656,20323
20659,GUNTER,Texas,TX,2697,42,2.91,31795,75192,33632
20660,HALLSVILLE,Texas,TX,8858,37.2,2.76,30023,59765,28346
20661,HARLETON,Texas,TX,2192,40.3,3.09,26948,48281,23098
20662,HAWKINS,Texas,TX,7751,52.5,2.51,23308,50770,25105
20663,HEMPHILL,Texas,TX,6037,57.6,2.61,19280,32682,20190
20664,HENDERSON,Texas,TX,29360,37,2.7,23262,47786,22484
20665,HONEY GROVE,Texas,TX,3553,40.3,2.92,21716,37778,20748
20666,HOOKS,Texas,TX,5108,40.5,2.63,24472,44063,21847
20667,HOWE,Texas,TX,5207,38.9,2.74,29731,69309,26889
20668,HUGHES SPRINGS,Texas,TX,4601,37.3,2.78,23804,45238,19809
20669,HUNTINGTON,Texas,TX,7376,40.6,2.59,19926,40820,20292
20670,HUTCHINS,Texas,TX,5815,32.1,3.06,20529,37007,15054
20671,IRVING,Texas,TX,237537,31.82,2.71,37736.33,62235.83,32432.33
20672,IVANHOE,Texas,TX,1057,41,2.99,29196,76293,30323
20673,JACKSONVILLE,Texas,TX,26671,37.6,2.69,23947,42523,21251
20674,JASPER,Texas,TX,16072,37.5,2.98,21562,37002,20214
20675,JEFFERSON,Texas,TX,8139,45.8,2.38,21754,36349,24744
20676,JEWETT,Texas,TX,2875,37.9,2.65,20091,33929,23442
20677,JOAQUIN,Texas,TX,3079,40.3,2.73,24223,43750,22085
20678,JOSEPHINE,Texas,TX,629,36.7,2.39,31964,46781,25717
20679,KARNACK,Texas,TX,3043,48.2,2.94,20490,50750,28750
20680,KAUFMAN,Texas,TX,18702,37.1,3.05,26491,51363,23575
20681,KEMP,Texas,TX,14138,45.2,2.56,23293,44200,23746
20682,KENNARD,Texas,TX,1783,50,2.23,21053,35133,19589
20683,KERENS,Texas,TX,3377,40.5,2.53,20856,42724,23158
20685,KILGORE,Texas,TX,26009,35.1,2.8,24879,58207,23860
20686,KIRBYVILLE,Texas,TX,8533,45.6,2.91,21153,40341,20223
20687,KLONDIKE,Texas,TX,604,48.3,2.66,26736,58403,22753
20688,LADONIA,Texas,TX,1484,35.5,2.55,20938,40481,18635
20689,LAKE CREEK,Texas,TX,173,32.9,3.26,35833,50417,17894
20690,LAKE DALLAS,Texas,TX,12457,39.5,2.71,38081,77273,33370
20691,LANCASTER,Texas,TX,41177,32.35,2.99,26544.5,52949,21677.5
20692,LANEVILLE,Texas,TX,1072,40.5,2.38,18029,29028,28823
20693,LARUE,Texas,TX,3364,41.3,2.71,28201,63235,30763
20694,LATEXO,Texas,TX,85,66.3,1.9,13571,20982,12440
20695,LAVON,Texas,TX,4057,33.2,3.22,46638,91136,33750
20696,LEESBURG,Texas,TX,998,55.3,2.01,21698,34392,21168
20697,LEONA,Texas,TX,959,42.2,3.08,32544,73875,28093
20698,LEONARD,Texas,TX,4306,38,2.89,28808,57052,24045
20699,FLOWER MOUND,Texas,TX,71681,40.1,3.09,57406.5,136196,52571.5
20700,THE COLONY,Texas,TX,57115,34.2,2.75,41448,83141,43487
20701,LEWISVILLE,Texas,TX,117639,35.37,2.77,35590,71738.67,32469.33
20702,LINDALE,Texas,TX,21078,43.1,2.77,30144,64206,29296
20703,LINDEN,Texas,TX,4410,46.7,2.33,21917,38059,19929
20704,LITTLE ELM,Texas,TX,55848,33.2,3.16,43080,94356,34319
20705,LONE OAK,Texas,TX,3102,46.7,2.45,24968,49924,23027
20706,LONE STAR,Texas,TX,2005,44.6,2.41,18609,33068,19094
20708,LONGVIEW,Texas,TX,105621,36.36,2.62,24714,46599.8,25809.6
20709,LOVELADY,Texas,TX,4834,45.5,2.51,25650,51711,11144
20710,LUFKIN,Texas,TX,65467,35.25,2.76,22930.5,47198.5,22803.5
20711,MCKINNEY,Texas,TX,180024,35.8,2.87,40455.33,81910.33,36802.67
20712,MC LEOD,Texas,TX,193,52.8,2.12,17083,30078,14568
20713,MABANK,Texas,TX,22456,42,2.7,24188.5,47968.5,25059
20714,MALAKOFF,Texas,TX,5774,42.6,2.66,17700,32366,16904
20715,MARIETTA,Texas,TX,604,62.3,1.97,17083,33984,23267
20716,MARSHALL,Texas,TX,33789,37.25,2.66,24320.5,41550,22985
20717,MAUD,Texas,TX,5191,39.4,3.03,25291,53846,22077
20718,MELISSA,Texas,TX,8807,35.8,3.38,37998,89274,34685
20719,MESQUITE,Texas,TX,145682,33.27,3.15,28819,57725,22720.67
20720,BALCH SPRINGS,Texas,TX,24112,26.8,3.84,22714,44228,14709
20721,SUNNYVALE,Texas,TX,6077,38,3.39,59497,137721,48606
20722,MIDWAY,Texas,TX,4889,31,2.28,25029,47557,6610
20723,MILAM,Texas,TX,742,58,2.55,15909,47396,32530
20724,MINEOLA,Texas,TX,12927,45.1,2.69,23962,47791,26832
20725,MONTALBA,Texas,TX,809,56.2,2.17,17803,29087,21153
20726,MOSCOW,Texas,TX,857,42.6,2.62,20027,28406,17767
20727,MOUNT ENTERPRISE,Texas,TX,2299,52,2.39,20402,38969,26335
20728,MOUNT PLEASANT,Texas,TX,28560,34,3,24431,46490,21254
20729,MOUNT VERNON,Texas,TX,6131,40.3,2.56,22392,44349,23915
20730,MURCHISON,Texas,TX,3167,51.1,2.53,22286,41938,21521
20731,NACOGDOCHES,Texas,TX,56585,28.02,2.52,17272.25,40102,18234.5
20732,NAPLES,Texas,TX,2271,40.2,2.19,21811,37201,22335
20733,NASH,Texas,TX,3229,29.3,2.67,26008,40295,15982
20734,NECHES,Texas,TX,160,36.7,3.14,27935,41583,18964
20735,NEVADA,Texas,TX,4166,40.6,2.78,33620,68687,29846
20736,NEW BOSTON,Texas,TX,10969,38.3,2.57,21965,47835,18800
20737,NEW LONDON,Texas,TX,519,38.8,2.77,18056,52625,26580
20738,NEW SUMMERFIELD,Texas,TX,226,25.1,4.19,22500,60000,16198
20739,NEWTON,Texas,TX,5287,41.4,2.94,19806,37734,20301
20740,OAKWOOD,Texas,TX,2463,51.9,2.41,16899,37740,20824
20741,OMAHA,Texas,TX,3189,32.8,2.81,29380,50588,22000
20742,ORE CITY,Texas,TX,3811,45.5,2.49,20694,42331,23834
20743,OVERTON,Texas,TX,7750,35.5,2.85,24311,48889,20275
20744,PALESTINE,Texas,TX,38518,37.2,2.71,22670.5,40168,19160.5
20745,PALMER,Texas,TX,4694,32,3.14,28451,55666,22641
20746,PARIS,Texas,TX,33917,40.45,2.49,25413,45277.5,25299
20747,PATTONVILLE,Texas,TX,918,53.6,2.34,17254,50992,26852
20748,PECAN GAP,Texas,TX,350,54.3,2.48,16016,34063,17536
20750,PETTY,Texas,TX,502,51.2,2.67,21477,60385,19037
20751,PICKTON,Texas,TX,1503,39.2,2.91,22654,44861,24795
20752,PINELAND,Texas,TX,1883,41.9,2.83,17597,30952,18712
20753,PITTSBURG,Texas,TX,13047,38.5,2.66,23057,44394,21958
20754,PLANO,Texas,TX,301555,38.91,2.81,45826.71,94174.71,44099.29
20755,POINT,Texas,TX,3931,42.2,2.68,20615,42318,20848
20756,POLLOK,Texas,TX,3726,48.3,2.54,21816,49393,20659
20757,POTTSBORO,Texas,TX,7244,50.2,2.38,26758,55267,34392
20758,POWDERLY,Texas,TX,3879,42.9,2.75,27659,60604,26395
20759,POWELL,Texas,TX,440,45.6,3.12,18688,36650,20531
20760,PRINCETON,Texas,TX,16367,34.2,2.92,31931,57027,25841
20761,PROSPER,Texas,TX,20611,34.4,3.37,60701,136642,49613
20762,QUEEN CITY,Texas,TX,4285,38.1,2.68,23983,47452,21476
20763,QUINLAN,Texas,TX,15047,45,2.73,20291,42670,21526
20764,QUITMAN,Texas,TX,7559,48.8,2.53,22404,46367,24924
20765,RANDOLPH,Texas,TX,220,45.3,2.44,21518,29318,17234
20767,RAVENNA,Texas,TX,988,50.4,2.5,26894,53063,26205
20768,RED OAK,Texas,TX,40225,34.9,3.22,32357,73996,27687
20769,REDWATER,Texas,TX,59,68.3,2.46,29375,83125,34298
20770,REKLAW,Texas,TX,829,44.5,2.94,18333,40982,17070
20771,RICE,Texas,TX,2946,33.2,3.34,24161,49356,17823
20772,RICHARDSON,Texas,TX,111940,37.7,2.64,42412.67,85396.67,40305
20773,ROCKWALL,Texas,TX,64509,38.4,2.89,43426.5,99161,42072
20774,ROSSER,Texas,TX,267,40.5,2.84,19773,35000,18641
20775,ROWLETT,Texas,TX,58959,38.95,3.01,41183,91837,35245.5
20776,ROXTON,Texas,TX,895,36.8,2.54,20357,29375,16305
20777,ROYSE CITY,Texas,TX,25560,35,3.15,36306,81275,30692
20778,RUSK,Texas,TX,10909,38.6,2.76,22635,45057,17320
20780,SALTILLO,Texas,TX,831,41.8,2.39,26008,40179,24571
20781,SAN AUGUSTINE,Texas,TX,6040,48.3,2.56,20254,34208,19824
20782,SAVOY,Texas,TX,1859,46.3,2.52,25304,47578,22720
20783,SCROGGINS,Texas,TX,1814,47.3,3.06,22636,46979,23862
20784,SCURRY,Texas,TX,3793,47.7,2.72,30398,56000,27198
20785,SEAGOVILLE,Texas,TX,19440,38.3,3.18,24998,48861,20904
20786,SHELBYVILLE,Texas,TX,2470,45.1,2.6,26942,45000,25421
20787,SHERMAN,Texas,TX,48248,36.05,2.62,25829.5,47522,23702
20788,SIMMS,Texas,TX,1716,45.5,2.43,23481,50565,21608
20789,KIRVIN,Texas,TX,108,24.8,2.08,35781,53000,18506
20790,STREETMAN,Texas,TX,1657,52,2.22,15452,37500,27851
20791,SULPHUR BLUFF,Texas,TX,346,47.8,2.4,24479,50536,24436
20792,SULPHUR SPRINGS,Texas,TX,24802,37.9,2.65,23095,45180,24181
20793,SUMNER,Texas,TX,2552,37,2.97,26272,52847,22874
20794,TALCO,Texas,TX,1688,39.8,2.9,20497,52318,21783
20795,TATUM,Texas,TX,3006,41,2.59,27132,47809,24106
20796,TEAGUE,Texas,TX,6415,40.8,2.46,26382,48214,21251
20797,TELEPHONE,Texas,TX,603,56.1,2.15,21793,42375,23763
20798,TENAHA,Texas,TX,3245,37.8,2.9,21708,33672,18655
20799,TENNESSEE COLONY,Texas,TX,8780,40.8,2.53,21927,61667,5020
20800,TERRELL,Texas,TX,31892,38.95,3.04,24845,49499,22805
20801,TEXARKANA,Texas,TX,61608,37.9,2.66,25582,47873,27666.5
20802,TIMPSON,Texas,TX,3727,43.8,2.57,21864,35399,22109
20803,TOM BEAN,Texas,TX,1061,36.9,2.57,31288,50469,22556
20804,TRENTON,Texas,TX,2399,39.1,2.71,29116,63000,25212
20805,TRINIDAD,Texas,TX,2440,50,2.28,20833,40424,30431
20806,TRINITY,Texas,TX,9863,51,2.31,19736,34909,21058
20807,TROUP,Texas,TX,7501,41.7,2.72,25303,50127,23186
20808,TYLER,Texas,TX,153692,36.29,2.98,23285.56,45361.56,23563.44
20809,VAN,Texas,TX,4600,36.5,2.94,26641,53690,23853
20810,VAN ALSTYNE,Texas,TX,7797,39,2.78,35051,75291,33933
20811,WASKOM,Texas,TX,5078,39.7,3.09,20008,50625,21747
20812,WAXAHACHIE,Texas,TX,52664,36.25,2.95,32651.5,72006,29706.5
20813,WELLS,Texas,TX,806,38.9,2.62,18063,31607,19400
20814,WHITEHOUSE,Texas,TX,13268,37.2,2.88,30838,63989,27936
20815,WHITE OAK,Texas,TX,6973,32.4,2.94,31230,59250,25219
20816,WHITEWRIGHT,Texas,TX,5646,40.8,2.83,26637,57500,29137
20817,WIERGATE,Texas,TX,471,50.4,1.77,18556,28750,21577
20818,WILLS POINT,Texas,TX,12779,46,2.67,25228,47399,27196
20819,WILMER,Texas,TX,4109,32.1,3.33,20647,40839,14152
20820,WINDOM,Texas,TX,404,51,2.17,30417,51324,29378
20821,WINFIELD,Texas,TX,532,22.3,4.29,23882,37500,11458
20822,WINNSBORO,Texas,TX,9931,42.6,2.58,21641,36105,21684
20823,WINONA,Texas,TX,2562,46.4,2.32,23923,37515,22305
20824,WODEN,Texas,TX,145,30.8,2.64,29844,74107,29441
20825,WOLFE CITY,Texas,TX,3436,41.8,2.76,27998,56941,23404
20826,WOODVILLE,Texas,TX,12384,36.3,2.57,20033,40079,16621
20827,WYLIE,Texas,TX,54534,34.3,3.22,40330,88453,30995
20828,YANTIS,Texas,TX,3585,56.8,2.53,26984,59803,29873
20829,ZAVALLA,Texas,TX,2500,45.1,2.52,18455,37426,21364
20831,BALKO,Oklahoma,OK,473,38.5,2.2,36971,55536,29506
20832,BEAVER,Oklahoma,OK,2387,37.2,2.66,26531,52583,25235
20833,BOISE CITY,Oklahoma,OK,1548,42,2.22,31150,47833,29854
20834,FELT,Oklahoma,OK,227,44.5,2.25,26806,47344,25442
20835,FORGAN,Oklahoma,OK,726,46.8,2.45,27202,48438,21789
20836,GOODWELL,Oklahoma,OK,1710,24.5,2.71,20430,41875,19008
20837,GUYMON,Oklahoma,OK,13865,34,3.04,27179,51101,23755
20838,HARDESTY,Oklahoma,OK,512,31.7,3.24,26912,45208,18860
20839,HOOKER,Oklahoma,OK,2830,33.9,2.85,30891,51496,25458
20840,KENTON,Oklahoma,OK,51,84.8,2.22,5455,12708,8086
20841,KEYES,Oklahoma,OK,361,48.1,2.23,26563,38250,24154
20842,TEXHOMA,Oklahoma,OK,1434,39.1,2.61,29457,47059,25545
20843,TURPIN,Oklahoma,OK,1353,45.3,2.65,25577,56600,26329
20844,TYRONE,Oklahoma,OK,1129,34.5,3.03,24234,38750,22540
20845,ABERNATHY,Texas,TX,3615,36.2,2.77,28993,50750,22875
20846,ABILENE,Texas,TX,129370,30.5,2.58,20760.17,48760.8,20853
20847,DYESS AFB,Texas,TX,3309,21.6,3.56,22180,46786,15864
20848,ADRIAN,Texas,TX,201,60.1,2.23,28750,70000,50903
20849,ALBANY,Texas,TX,2428,38.8,2.58,24813,43958,22815
20850,ALEDO,Texas,TX,16334,37.8,2.95,56860,118268,50137
20851,ALLISON,Texas,TX,210,39.5,2.73,26250,67679,25607
20852,ALVARADO,Texas,TX,21049,36.5,3.06,28035,54222,21957
20853,ALVORD,Texas,TX,3313,36.7,3.01,27173,67797,30136
20854,AMARILLO,Texas,TX,227906,36.56,2.6,29137,55856.71,27787.21
20855,AMHERST,Texas,TX,1020,45.7,2.59,24256,47829,22699
20856,ANSON,Texas,TX,2959,44.2,2.37,22815,51477,26189
20857,ANTON,Texas,TX,1738,32.6,2.93,23156,43625,20232
20858,ARCHER CITY,Texas,TX,1853,37.9,2.32,30158,40417,25270
20859,ARGYLE,Texas,TX,25037,40.7,3.12,52461,130720,54079
20860,ARLINGTON,Texas,TX,393096,34.42,2.84,30758.83,59302.83,27635.5
20861,ART,Texas,TX,107,71.6,1.98,36250,86429,64697
20862,ASPERMONT,Texas,TX,984,51.3,2.2,21821,45625,27579
20863,AUBREY,Texas,TX,29616,34.5,3.04,41575,88108,33864
20864,AZLE,Texas,TX,27714,43.2,2.74,29475,60770,32273
20865,BAIRD,Texas,TX,3157,46.4,2.56,23149,45089,23338
20866,BALLINGER,Texas,TX,4595,44.5,2.52,19982,36365,20675
20867,BANGS,Texas,TX,3348,41.9,2.7,26067,47632,22257
20868,BARNHART,Texas,TX,110,56.9,2.24,33125,74792,37731
20869,BEDFORD,Texas,TX,48962,40.65,2.33,34766.5,61281,33314
20870,BELLEVUE,Texas,TX,1027,52.7,2.61,25833,51625,28129
20872,BENJAMIN,Texas,TX,314,49.3,2.44,20197,35625,17735
20873,BIG LAKE,Texas,TX,3744,32.3,3.17,29899,59904,25137
20874,BLACKWELL,Texas,TX,679,53.8,2,29375,49241,34830
20875,BLANKET,Texas,TX,1152,52.1,2.12,24864,37692,23624
20877,BLUFF DALE,Texas,TX,1514,49.4,2.76,35635,67656,28514
20878,BOOKER,Texas,TX,1653,34.5,2.67,31046,69000,30839
20879,BORGER,Texas,TX,14415,35.7,2.79,23083,47737,24472
20880,BOVINA,Texas,TX,1921,28.1,3.12,26742,42125,19327
20881,BOWIE,Texas,TX,9538,43.1,2.32,29475,49019,27647
20882,BOYD,Texas,TX,5930,42.5,2.76,25965,54181,26021
20883,BRADY,Texas,TX,6891,41.1,2.61,24189,43750,22083
20884,BRECKENRIDGE,Texas,TX,8794,38.4,2.67,22147,44254,21610
20885,BRIDGEPORT,Texas,TX,12453,40.6,2.77,26408,49408,24825
20886,BRISCOE,Texas,TX,209,51.9,1.88,38571,83194,51435
20887,BRONTE,Texas,TX,1344,45.9,2.02,23651,38077,22834
20888,BROOKESMITH,Texas,TX,402,46.2,2.41,20625,48125,24308
20889,BROWNFIELD,Texas,TX,11510,34.6,2.8,20414,41406,21960
20891,BROWNWOOD,Texas,TX,24918,39,2.59,22312,40555,24132
20892,EARLY,Texas,TX,5010,39.1,2.85,25702,52355,24341
20893,BRYSON,Texas,TX,1021,30.5,2.83,17852,34736,18325
20894,BUFFALO GAP,Texas,TX,1403,39,2.78,31650,76989,34761
20895,BURKBURNETT,Texas,TX,12085,39.2,2.49,28257,52090,24053
20896,BURKETT,Texas,TX,211,59.7,2.48,28571,51406,29509
20897,BURLESON,Texas,TX,67388,36.9,2.84,37187,75420,32846
20898,BUSHLAND,Texas,TX,1272,35.4,2.76,47360,109628,41261
20899,BYERS,Texas,TX,662,42,2.88,21389,45536,25456
20900,CACTUS,Texas,TX,3707,26.1,3.93,25045,47697,13593
20902,CANADIAN,Texas,TX,4119,35.1,3.05,30245,68491,29234
20903,CANYON,Texas,TX,21709,24.45,2.65,15064,60867,15891
20904,CARBON,Texas,TX,453,54.2,2.42,18056,33393,21941
20905,CARLSBAD,Texas,TX,1308,35.6,2.78,23828,49671,22265
20908,CHANNING,Texas,TX,272,41,1.85,23750,44688,22611
20909,CHEROKEE,Texas,TX,691,50.2,2.76,25000,60781,35290
20910,CHICO,Texas,TX,2931,46.2,2.76,23689,58459,26681
20911,CHILDRESS,Texas,TX,7066,32.9,2.5,26338,40714,18888
20912,CHILLICOTHE,Texas,TX,1075,39.4,2.88,21086,49779,23788
20914,CHRISTOVAL,Texas,TX,1736,50,2.82,30759,73810,31580
20915,CISCO,Texas,TX,5401,48.8,2.39,18829,36335,22255
20916,CLARENDON,Texas,TX,2967,40,2.46,20367,44758,23635
20917,CLAUDE,Texas,TX,1756,45.8,2.66,34395,69464,30780
20918,CLEBURNE,Texas,TX,43240,36.1,2.76,26172.5,53667.5,24824.5
20919,CLYDE,Texas,TX,7056,42.5,2.61,25110,41059,21694
20920,COAHOMA,Texas,TX,1278,45.5,2.32,36680,58958,36432
20921,COLEMAN,Texas,TX,5349,43.7,2.44,25497,41250,25430
20922,COLLEYVILLE,Texas,TX,25557,47.8,2.89,64670,164682,74123
20923,COLLINSVILLE,Texas,TX,3490,40.4,2.68,35166,73606,32598
20924,COLORADO CITY,Texas,TX,7907,34.1,2.45,21715,51968,17953
20925,COMANCHE,Texas,TX,7496,45.1,2.67,23577,43544,22847
20926,COTTON CENTER,Texas,TX,142,37.4,2.9,25921,41875,16217
20927,CRESSON,Texas,TX,1466,48.5,2.53,43333,92386,56450
20928,CROSBYTON,Texas,TX,1927,43.4,2.52,20259,35651,22206
20929,CROSS PLAINS,Texas,TX,2316,40.7,2.54,24494,31676,19073
20930,CROWELL,Texas,TX,1454,49,2.43,22270,49583,26110
20931,CROWLEY,Texas,TX,25736,37.2,2.94,34176,67199,29036
20932,DALHART,Texas,TX,11488,34.3,2.83,28050,54047,22908
20933,DARROUZETT,Texas,TX,470,34.7,2.67,31563,61071,28491
20935,DECATUR,Texas,TX,15341,38.6,2.67,31756,61645,31088
20936,DE LEON,Texas,TX,3472,46.7,2.28,22973,38356,22558
20937,DENTON,Texas,TX,155425,31.87,2.65,26176.5,57394.67,26967
20938,DENVER CITY,Texas,TX,7367,30.4,3.34,25531,65352,23435
20939,DESDEMONA,Texas,TX,322,40.7,1.83,28500,28143,19839
20940,DICKENS,Texas,TX,399,50.6,2.41,26417,57273,26857
20941,DIMMITT,Texas,TX,5090,33.1,3.16,25258,40956,22673
20942,DODSON,Texas,TX,195,35.6,3.25,22045,52647,18310
20945,DUBLIN,Texas,TX,8105,34,2.97,25152,45337,20778
20946,DUMAS,Texas,TX,16010,30.2,3.19,31178,54278,22477
20947,EARTH,Texas,TX,1397,34.3,2.87,27386,51964,22582
20948,EASTLAND,Texas,TX,5224,41.9,2.84,21340,31330,24194
20949,EDEN,Texas,TX,2901,38.9,3.34,20425,39792,12503
