id,city,state,state_abbr,population,median_age,average_household_size,median_income,household_income,household_income
125,COHASSET,Massachusetts,MA,8393.0,44.6,2.73,52429.0,75885.0,75885.0
126,CONCORD,Massachusetts,MA,19383.0,46.6,2.58,62134.0,68083.0,68083.0
127,COTUIT,Massachusetts,MA,3301.0,53.7,2.11,33607.0,48393.0,48393.0
128,NORTH TRURO,Massachusetts,MA,942.0,54.8,2.15,35265.0,33112.0,33112.0
129,NORWELL,Massachusetts,MA,10897.0,43.3,2.94,50528.0,58318.0,58318.0
130,NORWOOD,Massachusetts,MA,29121.0,40.6,2.44,42303.0,43258.0,43258.0
131,OAK BLUFFS,Massachusetts,MA,4675.0,43.0,2.71,49735.0,39578.0,39578.0
133,ORLEANS,Massachusetts,MA,5905.0,60.4,2.01,30707.0,41184.0,41184.0
134,OSTERVILLE,Massachusetts,MA,3257.0,56.7,2.16,35713.0,65047.0,65047.0
135,OXFORD,Massachusetts,MA,11386.0,39.7,2.62,35642.0,31306.0,31306.0
136,PEABODY,Massachusetts,MA,52313.0,44.4,2.44,32318.0,35077.0,35077.0
137,PEMBROKE,Massachusetts,MA,18230.0,42.5,2.8,42264.0,40887.0,40887.0
138,PEPPERELL,Massachusetts,MA,12049.0,42.9,2.77,41386.0,40919.0,40919.0
139,PLYMOUTH,Massachusetts,MA,58500.0,45.5,2.53,36676.0,41368.0,41368.0
140,PLYMPTON,Massachusetts,MA,2912.0,44.5,2.9,45429.0,39378.0,39378.0
141,POCASSET,Massachusetts,MA,4028.0,53.5,2.22,30056.0,42840.0,42840.0
142,PRINCETON,Massachusetts,MA,3438.0,48.4,2.66,52140.0,59891.0,59891.0
143,PROVINCETOWN,Massachusetts,MA,2952.0,54.9,1.66,30166.0,42402.0,42402.0
144,RANDOLPH,Massachusetts,MA,33980.0,41.7,2.75,32012.0,32247.0,32247.0
145,READING,Massachusetts,MA,24894.0,42.5,2.73,51637.0,51120.0,51120.0
146,ROCHDALE,Massachusetts,MA,2299.0,48.2,2.71,40851.0,39122.0,39122.0
147,ROCKLAND,Massachusetts,MA,17849.0,41.2,2.57,36611.0,35556.0,35556.0
148,ROCKPORT,Massachusetts,MA,7184.0,53.4,2.22,35796.0,43976.0,43976.0
149,ROWLEY,Massachusetts,MA,6232.0,44.3,2.82,37642.0,45342.0,45342.0
150,RUTLAND,Massachusetts,MA,8463.0,40.2,2.9,43175.0,37904.0,37904.0
152,SAGAMORE BEACH,Massachusetts,MA,3008.0,46.3,2.42,41144.0,45811.0,45811.0
153,SALEM,Massachusetts,MA,42991.0,36.1,2.25,31442.0,35379.0,35379.0
154,SANDWICH,Massachusetts,MA,9501.0,51.5,2.42,35810.0,43441.0,43441.0
155,SCITUATE,Massachusetts,MA,18042.0,47.1,2.68,49439.0,54496.0,54496.0
156,SHARON,Massachusetts,MA,18148.0,43.1,2.91,58047.0,63698.0,63698.0
157,SHERBORN,Massachusetts,MA,4302.0,45.0,2.91,52887.0,75852.0,75852.0
